 BLEU    NIST       TER        METEROR   |  BLEU    NIST       TER        METEROR   | NAME
0.8220 11.9108 0.0735342286 0.5901574358 | 0.8418 13.4490 0.0638103920 0.5990467473 | all-all-rnn-bidir-Alt
0.8215 11.8947 0.0736980020 0.5898869719 | 0.8401 13.4286 0.0650692364 0.5980073211 | all-all-rnn-r2l-Alt
0.8151 11.8869 0.0768096954 0.5874843228 | 0.8401 13.4450 0.0647219690 0.5981107809 | all-all-rnn-l2r-Alt
0.8098 11.8724 0.0786112021 0.5837697002 | 0.8204 13.3448 0.0741415983 0.5876460065 | all-no-backward-bidir-MIRA
0.8079 11.8673 0.0797576155 0.5831773798 | 0.8204 13.3439 0.0748795416 0.5876460065 | no-lex-no-backward-bidir-MIRA
0.8060 11.8615 0.0804127088 0.5824207383 | 0.8200 13.3397 0.0741850067 0.5874593787 | no-lex-all-bidir-MIRA
0.8051 11.8557 0.0812315755 0.5817527417 | 0.8157 13.3189 0.0773538221 0.5855427579 | all-no-backward-l2r-MIRA
0.8046 11.8500 0.0818866689 0.5815864075 | 0.8193 13.3350 0.0747493163 0.5872265678 | no-lex-all-bidir-MERT
0.8044 11.8547 0.0805764821 0.5811717252 | 0.8176 13.3311 0.0755306681 0.5863466434 | all-no-backward-bidir-Alt
0.8042 11.8524 0.0830330822 0.5813374010 | 0.8186 13.3325 0.0758779355 0.5869246967 | no-lex-no-backward-bidir-Alt
0.8037 11.8484 0.0840157222 0.5808411579 | 0.8163 13.3221 0.0765724704 0.5858865161 | no-lex-no-backward-bidir-MERT
0.8035 11.8495 0.0818866689 0.5809237020 | 0.8186 13.3350 0.0752702175 0.5868783333 | all-all-bidir-MIRA
0.8032 11.8506 0.0820504422 0.5812545303 | 0.8152 13.3167 0.0777010896 0.5854284249 | no-lex-no-backward-l2r-MIRA
0.8024 11.8434 0.0835244022 0.5807586788 | 0.8193 13.3389 0.0752702175 0.5872265678 | no-lex-all-bidir-Alt
0.8017 11.8427 0.0846708156 0.5801831345 | 0.8171 13.3202 0.0764856535 0.5862083902 | all-all-bidir-Alt
0.8017 11.8254 0.0833606289 0.5802651620 | 0.8097 13.2851 0.0792203846 0.5831007482 | in-no-backward-bidir-Alt
0.7999 11.8374 0.0835244022 0.5799374358 | 0.8155 13.3134 0.0766158788 0.5854970096 | no-lex-all-l2r-MIRA
0.7999 11.8352 0.0863085490 0.5792850350 | 0.8116 13.2966 0.0795242436 0.5838633602 | no-lex-no-backward-l2r-MERT
